"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2013 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
37-2703,GOSPER,37,TIF WHEATFIELD ADDITION LOT 7,1/1/2009,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition
Lot 7, Wheatfield Addition
Description: TIF funds used for residential development.",2012,2150,125034,0,0,0,0,0,0,,2150,125034,2.272931,2841.94,48.87
37-2703,GOSPER,37,TIF WHEATFIELD ADDITION LOT 7,1/1/2009,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition
Lot 7, Wheatfield Addition
Description: TIF funds used for residential development.",2013,2150,125663,0,0,0,0,0,0,,2150,125663,2.102042,2641.48,45.19
37-2704,GOSPER,37,TIF WHEATFIELD ADDITION LOT 12,12/8/2010,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition 12
Lot 12 Wheatfield Addition Elwood, 106 W. Rochelle St.
Description: TIF funds used for residential development.",2010,2150,0,0,0,0,0,0,0,,2150,0,2.267762,0,48.76
37-2704,GOSPER,37,TIF WHEATFIELD ADDITION LOT 12,12/8/2010,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition 12
Lot 12 Wheatfield Addition Elwood, 106 W. Rochelle St.
Description: TIF funds used for residential development.",2011,2150,111839,0,0,0,0,0,0,,2150,111839,2.268275,2536.82,48.77
37-2704,GOSPER,37,TIF WHEATFIELD ADDITION LOT 12,12/8/2010,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition 12
Lot 12 Wheatfield Addition Elwood, 106 W. Rochelle St.
Description: TIF funds used for residential development.",2012,2150,111839,0,0,0,0,0,0,,2150,111839,2.272931,2542.02,48.87
37-2704,GOSPER,37,TIF WHEATFIELD ADDITION LOT 12,12/8/2010,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition 12
Lot 12 Wheatfield Addition Elwood, 106 W. Rochelle St.
Description: TIF funds used for residential development.",2013,2150,112023,0,0,0,0,0,0,,2150,112023,2.102042,2354.78,45.19
37-2705,GOSPER,37,TIF WHEATFIELD ADDITION LOT 6,1/1/2012,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition Lot 6
Lot 6 Wheatfield Add, 101 W. Rochelle St., Elwood Village
Description: TIF Funds used for new residential dwelling",2012,2150,0,0,0,0,0,0,0,,2150,0,2.272931,0,48.87
37-2705,GOSPER,37,TIF WHEATFIELD ADDITION LOT 6,1/1/2012,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition Lot 6
Lot 6 Wheatfield Add, 101 W. Rochelle St., Elwood Village
Description: TIF Funds used for new residential dwelling",2013,2150,160641,0,0,0,0,0,0,,2150,160641,2.102042,3376.74,45.19
39-8609,GREELEY,39,TIF SPALDING PROJ 1,1/1/2013,SPALDING,SPALDING 55,39-0055,,3,"Name of Project: Spalding Project 1
Parcel #390535500 located in W1/2 SW 1/4 SW 1/4 21-20-9
Description of Project: TIF funds used for infrastructure repair and replacement of sewer lines, water lines, fire hydrants and streets.",2013,0,0,222140,1586080,0,0,0,0,,222140,1586080,1.929254,30599.52,4285.64
40-5007,HALL,40,TIF GENTLE DENTAL,12/31/2002,GRAND ISLAND,GRAND ISLAND 2,40-0002,,3,"Name of Project: Gentel Dental (RSF LTD)
Lots 1 & 2, Block 18, Arnold and Abbott Addition
Description: TIF funds used for renovation of vacant building into dental office.",2002,0,0,178862,0,0,0,0,0,,178862,0,2.125279,0,3811.31
55-9985,LANCASTER,55,TIF NORTH 27TH SUBPROJ A9985,3/16/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: North 27th Street Redevelopment 9985
An area from N Street and north to Leighton and from 26th east to 30th and parts of 23rd to 25th, between Apple and Potter.
Description: Site preparation for commercial redevelopment and community wrap-around center.",2009,2722800,552000,9802900,3524500,0,0,0,0,,12525700,4076500,2.011944,82016.9,252010.07
55-9985,LANCASTER,55,TIF NORTH 27TH SUBPROJ A9985,3/16/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: North 27th Street Redevelopment 9985
An area from N Street and north to Leighton and from 26th east to 30th and parts of 23rd to 25th, between Apple and Potter.
Description: Site preparation for commercial redevelopment and community wrap-around center.",2010,2640911,566989,9886187,3509413,0,0,0,0,,12527098,4076402,1.99595,81362.95,250034.61
55-9985,LANCASTER,55,TIF NORTH 27TH SUBPROJ A9985,3/16/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: North 27th Street Redevelopment 9985
An area from N Street and north to Leighton and from 26th east to 30th and parts of 23rd to 25th, between Apple and Potter.
Description: Site preparation for commercial redevelopment and community wrap-around center.",2011,2538861,592839,9888687,3509413,0,0,0,0,,12427548,4102252,2.025212,83079.3,251684.19
55-9985,LANCASTER,55,TIF NORTH 27TH SUBPROJ A9985,3/16/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: North 27th Street Redevelopment 9985
An area from N Street and north to Leighton and from 26th east to 30th and parts of 23rd to 25th, between Apple and Potter.
Description: Site preparation for commercial redevelopment and community wrap-around center.",2012,2495941,861659,10030060,4095240,0,0,0,0,,12526001,4956899,2.01954,100106.56,252967.6
55-9985,LANCASTER,55,TIF NORTH 27TH SUBPROJ A9985,3/16/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: North 27th Street Redevelopment 9985
An area from N Street and north to Leighton and from 26th east to 30th and parts of 23rd to 25th, between Apple and Potter.
Description: Site preparation for commercial redevelopment and community wrap-around center.",2013,2478441,868859,10106381,4753219,0,0,0,0,,12584822,5622078,2.020638,113601.84,254293.7
55-9987,LANCASTER,55,TIF WASHINGTON SQUARE 9987,3/20/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: South 19th Street Redevelopment (Washington Square
An area bounded by S. 18th Street on the west, South 19th on east, including lots on the east side abutting S. 19th Street by Washington on the north and Garfield on the south.
Description: TIF funds used for public improvements ot sidewalks and storm drainage. It also includes improvements to separate residential uses from incompatible uses, decreases conflict between residential and non-residential traffic, improves residential options, increases opportunities to maximize home ownership in the area and encourages diverse and affordable housing.",2008,0,0,600000,0,0,0,0,0,,600000,0,2.029514,0,12177.08
55-9987,LANCASTER,55,TIF WASHINGTON SQUARE 9987,3/20/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: South 19th Street Redevelopment (Washington Square
An area bounded by S. 18th Street on the west, South 19th on east, including lots on the east side abutting S. 19th Street by Washington on the north and Garfield on the south.
Description: TIF funds used for public improvements ot sidewalks and storm drainage. It also includes improvements to separate residential uses from incompatible uses, decreases conflict between residential and non-residential traffic, improves residential options, increases opportunities to maximize home ownership in the area and encourages diverse and affordable housing.",2009,225000,0,0,0,0,0,0,0,,225000,0,2.011944,0,4526.87
55-9987,LANCASTER,55,TIF WASHINGTON SQUARE 9987,3/20/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: South 19th Street Redevelopment (Washington Square
An area bounded by S. 18th Street on the west, South 19th on east, including lots on the east side abutting S. 19th Street by Washington on the north and Garfield on the south.
Description: TIF funds used for public improvements ot sidewalks and storm drainage. It also includes improvements to separate residential uses from incompatible uses, decreases conflict between residential and non-residential traffic, improves residential options, increases opportunities to maximize home ownership in the area and encourages diverse and affordable housing.",2010,600000,1135300,0,0,0,0,0,0,,600000,1135300,1.99595,22660.02,11975.7
55-9987,LANCASTER,55,TIF WASHINGTON SQUARE 9987,3/20/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: South 19th Street Redevelopment (Washington Square
An area bounded by S. 18th Street on the west, South 19th on east, including lots on the east side abutting S. 19th Street by Washington on the north and Garfield on the south.
Description: TIF funds used for public improvements ot sidewalks and storm drainage. It also includes improvements to separate residential uses from incompatible uses, decreases conflict between residential and non-residential traffic, improves residential options, increases opportunities to maximize home ownership in the area and encourages diverse and affordable housing.",2011,600000,1135300,0,0,0,0,0,0,,600000,1135300,2.025212,22992.23,12151.27
55-9987,LANCASTER,55,TIF WASHINGTON SQUARE 9987,3/20/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: South 19th Street Redevelopment (Washington Square
An area bounded by S. 18th Street on the west, South 19th on east, including lots on the east side abutting S. 19th Street by Washington on the north and Garfield on the south.
Description: TIF funds used for public improvements ot sidewalks and storm drainage. It also includes improvements to separate residential uses from incompatible uses, decreases conflict between residential and non-residential traffic, improves residential options, increases opportunities to maximize home ownership in the area and encourages diverse and affordable housing.",2012,600000,864400,0,0,0,0,0,0,,600000,864400,2.01954,17456.9,12117.24
55-9987,LANCASTER,55,TIF WASHINGTON SQUARE 9987,3/20/2008,LINCOLN,LINCOLN 1,55-0001,,4,"Name of Project: South 19th Street Redevelopment (Washington Square
An area bounded by S. 18th Street on the west, South 19th on east, including lots on the east side abutting S. 19th Street by Washington on the north and Garfield on the south.
Description: TIF funds used for public improvements ot sidewalks and storm drainage. It also includes improvements to separate residential uses from incompatible uses, decreases conflict between residential and non-residential traffic, improves residential options, increases opportunities to maximize home ownership in the area and encourages diverse and affordable housing.",2013,600000,864400,0,0,0,0,0,0,,600000,864400,2.020638,17466.39,12123.83
28-2183,DOUGLAS,28,TIF REDEVELOPMENT 183,6/28/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: La Cuadra, LLC
33rd & Q Streets
Description: Commercial Development",2011,0,0,56600,1595200,0,0,0,0,,56600,1595200,2.17798,34743.14,1232.74
28-2183,DOUGLAS,28,TIF REDEVELOPMENT 183,6/28/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: La Cuadra, LLC
33rd & Q Streets
Description: Commercial Development",2012,0,0,56600,1595200,0,0,0,0,,56600,1595200,2.17448,34687.3,1230.76
28-2183,DOUGLAS,28,TIF REDEVELOPMENT 183,6/28/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: La Cuadra, LLC
33rd & Q Streets
Description: Commercial Development",2013,0,0,56600,1595200,0,0,0,0,,56600,1595200,2.19974,35090.25,1245.05
28-2184,DOUGLAS,28,TIF REDEVELOPMENT 184,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Nathan Development, LLC
2401 N. 16th Street
Description: Housing construction",2006,0,0,14400,0,0,0,0,0,,14400,0,2.07512,0,298.82
28-2184,DOUGLAS,28,TIF REDEVELOPMENT 184,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Nathan Development, LLC
2401 N. 16th Street
Description: Housing construction",2007,0,0,82000,301000,0,0,0,0,,82000,301000,2.05403,6182.63,1684.3
28-2184,DOUGLAS,28,TIF REDEVELOPMENT 184,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Nathan Development, LLC
2401 N. 16th Street
Description: Housing construction",2008,0,0,82000,334000,0,0,0,0,,82000,334000,2.05498,6863.63,1685.08
28-2184,DOUGLAS,28,TIF REDEVELOPMENT 184,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Nathan Development, LLC
2401 N. 16th Street
Description: Housing construction",2009,0,0,82000,445000,0,0,0,0,,82000,445000,2.13427,9497.5,1750.1
28-2184,DOUGLAS,28,TIF REDEVELOPMENT 184,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Nathan Development, LLC
2401 N. 16th Street
Description: Housing construction",2010,0,0,82000,238200,0,0,0,0,,82000,238200,2.17816,5188.38,1786.09
28-2184,DOUGLAS,28,TIF REDEVELOPMENT 184,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Nathan Development, LLC
2401 N. 16th Street
Description: Housing construction",2011,0,0,82000,238200,0,0,0,0,,82000,238200,2.17798,5187.95,1785.94
28-2184,DOUGLAS,28,TIF REDEVELOPMENT 184,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Nathan Development, LLC
2401 N. 16th Street
Description: Housing construction",2012,0,0,82000,238200,0,0,0,0,,82000,238200,2.17448,5179.61,1783.07
28-2184,DOUGLAS,28,TIF REDEVELOPMENT 184,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Nathan Development, LLC
2401 N. 16th Street
Description: Housing construction",2013,0,0,82000,238200,0,0,0,0,,82000,238200,2.19974,5239.78,1803.79
28-2185,DOUGLAS,28,TIF REDEVELOPMENT 185,10/3/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: River City Lodging, LLC 
Area of 15th and 16th Streets, Izard and Nicholas Streets Description: TIF funds used for commercial hotel development.",2007,0,0,45100,75900,0,0,0,0,,45100,75900,2.05403,1559.01,926.37
28-2185,DOUGLAS,28,TIF REDEVELOPMENT 185,10/3/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: River City Lodging, LLC 
Area of 15th and 16th Streets, Izard and Nicholas Streets Description: TIF funds used for commercial hotel development.",2008,0,0,45100,2283200,0,0,0,0,,45100,2283200,2.05498,46919.3,926.8
28-2185,DOUGLAS,28,TIF REDEVELOPMENT 185,10/3/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: River City Lodging, LLC 
Area of 15th and 16th Streets, Izard and Nicholas Streets Description: TIF funds used for commercial hotel development.",2009,0,0,45100,5002500,0,0,0,0,,45100,5002500,2.13427,106766.86,962.56
28-2185,DOUGLAS,28,TIF REDEVELOPMENT 185,10/3/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: River City Lodging, LLC 
Area of 15th and 16th Streets, Izard and Nicholas Streets Description: TIF funds used for commercial hotel development.",2010,0,0,45100,5002500,0,0,0,0,,45100,5002500,2.17816,108962.45,982.35
28-2185,DOUGLAS,28,TIF REDEVELOPMENT 185,10/3/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: River City Lodging, LLC 
Area of 15th and 16th Streets, Izard and Nicholas Streets Description: TIF funds used for commercial hotel development.",2011,0,0,45100,5002500,0,0,0,0,,45100,5002500,2.17798,108953.45,982.27
28-2185,DOUGLAS,28,TIF REDEVELOPMENT 185,10/3/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: River City Lodging, LLC 
Area of 15th and 16th Streets, Izard and Nicholas Streets Description: TIF funds used for commercial hotel development.",2012,0,0,45100,10640900,0,0,0,0,,45100,10640900,2.17448,231384.24,980.69
28-2185,DOUGLAS,28,TIF REDEVELOPMENT 185,10/3/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: River City Lodging, LLC 
Area of 15th and 16th Streets, Izard and Nicholas Streets Description: TIF funds used for commercial hotel development.",2013,0,0,45100,10640900,0,0,0,0,,45100,10640900,2.19974,234072.13,992.08
28-2186,DOUGLAS,28,TIF REDEVELOPMENT 186,9/12/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Revitalize Omaha, LLC 
Hill 2th Ave and Douglas Street 
Description: TIF funds for housing rehabilitation and convention.",2007,533400,0,0,0,0,0,0,0,,533400,0,2.05403,0,10956.2
28-2186,DOUGLAS,28,TIF REDEVELOPMENT 186,9/12/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Revitalize Omaha, LLC 
Hill 2th Ave and Douglas Street 
Description: TIF funds for housing rehabilitation and convention.",2008,603000,1411300,0,0,0,0,0,0,,603000,1411300,2.05498,29001.92,12391.53
28-2186,DOUGLAS,28,TIF REDEVELOPMENT 186,9/12/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Revitalize Omaha, LLC 
Hill 2th Ave and Douglas Street 
Description: TIF funds for housing rehabilitation and convention.",2009,603000,1928400,0,0,0,0,0,0,,603000,1928400,2.13427,41157.26,12869.65
28-2186,DOUGLAS,28,TIF REDEVELOPMENT 186,9/12/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Revitalize Omaha, LLC 
Hill 2th Ave and Douglas Street 
Description: TIF funds for housing rehabilitation and convention.",2010,603000,1928400,0,0,0,0,0,0,,603000,1928400,2.17816,42003.64,13134.3
28-2186,DOUGLAS,28,TIF REDEVELOPMENT 186,9/12/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Revitalize Omaha, LLC 
Hill 2th Ave and Douglas Street 
Description: TIF funds for housing rehabilitation and convention.",2011,603000,1928400,0,0,0,0,0,0,,603000,1928400,2.17798,42000.14,13133.22
28-2186,DOUGLAS,28,TIF REDEVELOPMENT 186,9/12/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Revitalize Omaha, LLC 
Hill 2th Ave and Douglas Street 
Description: TIF funds for housing rehabilitation and convention.",2012,603000,1928400,0,0,0,0,0,0,,603000,1928400,2.17448,41932.66,13112.11
28-2186,DOUGLAS,28,TIF REDEVELOPMENT 186,9/12/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Revitalize Omaha, LLC 
Hill 2th Ave and Douglas Street 
Description: TIF funds for housing rehabilitation and convention.",2013,603000,1523400,0,0,0,0,0,0,,603000,1523400,2.19974,33510.79,13264.43
28-2187,DOUGLAS,28,TIF REDEVELOPMENT 187,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,Name of Project: North Central Group (Lot 1 Hampton Inn Suites) Area of 12th and 14th Streets at Cuming and Izard Streets Description: TIF funds used for commercial hotel development.,2007,0,0,162100,0,0,0,0,0,,162100,0,2.05403,0,3329.58
28-2187,DOUGLAS,28,TIF REDEVELOPMENT 187,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,Name of Project: North Central Group (Lot 1 Hampton Inn Suites) Area of 12th and 14th Streets at Cuming and Izard Streets Description: TIF funds used for commercial hotel development.,2008,0,0,162100,7689500,0,0,0,0,,162100,7689500,2.05498,158017.69,3331.12
28-2187,DOUGLAS,28,TIF REDEVELOPMENT 187,6/27/2006,OMAHA,OMAHA 1,28-0001,,5,Name of Project: North Central Group (Lot 1 Hampton Inn Suites) Area of 12th and 14th Streets at Cuming and Izard Streets Description: TIF funds used for commercial hotel development.,2009,0,0,162100,13058500,0,0,0,0,,162100,13058500,2.13427,278703.65,3459.65
